Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,Chemical state,Building,Ground roughtness,Source,Tank Diameter (meters),Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
5.0,4.0,34.0,78.0,1.0,52.7,4.5,7.8,44.0,2.12,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.5,34.0,2.12,22,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,23.0,81.0,30.0,72.7,3.7,8.5,29.0,2.65,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,3.7,23.0,2.65,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,23.0,77.0,16.0,55.4,0.6,5.6,0.0,2.77,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Continue,0.6,23.0,2.77,0,Concrete,cubic meters,Hole,Liquid
4.0,2.0,18.0,83.0,28.0,27.32,8.5,7.4,47.0,1.37,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Instantaneous,8.5,18.0,1.37,39,Concrete,cubic meters,Hole,Liquid
4.0,1.0,33.0,84.0,53.0,72.41,8.7,3.3,38.0,1.36,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,8.7,33.0,1.36,22,Concrete,cubic meters,pipe/valve,Liquid
6.0,2.0,34.0,82.0,33.0,27.66,9.2,7.0,59.0,1.57,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,9.2,34.0,1.57,35,Concrete,cubic meters,Hole,Liquid
6.0,0.0,19.0,83.0,6.0,5.01,9.9,6.4,77.0,0.92,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,9.9,19.0,0.92,18,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,26.0,79.0,45.0,2.05,3.3,3.1,31.0,1.84,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,3.3,26.0,1.84,9,Concrete,cubic meters,Hole,Liquid
6.0,8.0,26.0,80.0,9.0,76.87,2.4,1.9,98.0,1.58,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,2.4,26.0,1.58,94,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,21.0,79.0,53.0,92.39,5.2,2.7,41.0,1.85,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,5.2,21.0,1.85,25,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,30.0,79.0,53.0,0.39,0.7,0.5,14.0,2.17,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,0.7,30.0,2.17,9,Concrete,cubic meters,pipe/valve,Liquid
3.0,1.0,24.0,77.0,7.0,84.21,4.0,3.8,18.0,1.23,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Continue,4.0,24.0,1.23,4,Concrete,cubic meters,Hole,Liquid
4.0,4.0,23.0,84.0,44.0,87.65,9.3,5.8,59.0,2.4,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,9.3,23.0,2.4,53,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,34.0,80.0,56.0,12.1,2.0,3.9,67.0,1.07,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Instantaneous,2.0,34.0,1.07,54,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,27.0,80.0,6.0,29.43,1.2,2.5,10.0,1.21,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,1.2,27.0,1.21,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,18.0,82.0,25.0,26.0,4.4,1.5,95.0,2.69,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.4,18.0,2.69,95,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,18.0,83.0,19.0,24.06,1.1,4.0,9.0,0.94,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Instantaneous,1.1,18.0,0.94,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,24.0,79.0,52.0,9.63,5.5,1.0,80.0,1.56,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,5.5,24.0,1.56,69,Concrete,cubic meters,Hole,Liquid
5.0,8.0,25.0,86.0,5.0,3.55,3.5,8.8,0.0,2.3,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.5,25.0,2.3,0,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,31.0,86.0,37.0,88.6,2.1,5.9,81.0,2.98,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,2.1,31.0,2.98,63,Concrete,cubic meters,pipe/valve,Liquid
6.0,10.0,21.0,87.0,5.0,47.77,7.5,6.0,48.0,2.57,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Continue,7.5,21.0,2.57,37,Concrete,cubic meters,Hole,Liquid
3.0,9.0,22.0,79.0,47.0,67.81,4.1,8.6,53.0,2.52,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Instantaneous,4.1,22.0,2.52,42,Concrete,cubic meters,Hole,Liquid
5.0,3.0,32.0,81.0,36.0,8.45,1.1,8.1,33.0,2.89,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,1.1,32.0,2.89,33,Concrete,cubic meters,Hole,Liquid
4.0,8.0,28.0,82.0,6.0,36.5,3.9,5.3,58.0,0.78,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,3.9,28.0,0.78,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,33.0,78.0,9.0,66.28,1.6,3.8,33.0,1.82,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,1.6,33.0,1.82,26,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,30.0,82.0,4.0,48.03,6.1,2.8,70.0,2.87,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,6.1,30.0,2.87,33,Concrete,cubic meters,pipe/valve,Liquid
6.0,4.0,25.0,86.0,30.0,38.54,0.9,4.3,34.0,1.0,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,0.9,25.0,1.0,5,Concrete,cubic meters,Hole,Liquid
5.0,6.0,35.0,78.0,31.0,47.05,8.3,6.8,11.0,1.78,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Continue,8.3,35.0,1.78,8,Concrete,cubic meters,Hole,Liquid
5.0,8.0,35.0,77.0,40.0,35.49,7.4,6.1,17.0,1.97,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,7.4,35.0,1.97,12,Concrete,cubic meters,Hole,Liquid
4.0,2.0,24.0,85.0,4.0,46.9,7.7,8.5,54.0,1.69,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,7.7,24.0,1.69,11,Concrete,cubic meters,Hole,Liquid
5.0,3.0,35.0,79.0,49.0,79.27,5.5,6.5,52.0,2.31,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,5.5,35.0,2.31,52,Concrete,cubic meters,Hole,Liquid
6.0,8.0,27.0,87.0,12.0,39.49,8.9,7.9,92.0,1.06,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,8.9,27.0,1.06,92,Concrete,cubic meters,Hole,Liquid
6.0,10.0,29.0,80.0,46.0,94.55,9.2,2.5,72.0,1.08,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,9.2,29.0,1.08,43,Concrete,cubic meters,pipe/valve,Liquid
4.0,10.0,28.0,82.0,40.0,33.9,9.3,0.8,78.0,1.71,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,9.3,28.0,1.71,51,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,32.0,83.0,35.0,95.29,5.3,3.8,5.0,1.94,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,5.3,32.0,1.94,5,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,28.0,87.0,13.0,69.4,9.4,4.1,23.0,0.92,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Instantaneous,9.4,28.0,0.92,2,Concrete,cubic meters,Hole,Liquid
4.0,1.0,21.0,81.0,10.0,41.59,6.6,1.0,1.0,1.42,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,6.6,21.0,1.42,0,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,26.0,84.0,33.0,73.49,8.0,6.9,34.0,1.68,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,8.0,26.0,1.68,6,Concrete,cubic meters,Hole,Liquid
4.0,4.0,33.0,83.0,38.0,71.81,1.9,4.8,89.0,2.9,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,1.9,33.0,2.9,68,Concrete,cubic meters,Hole,Liquid
3.0,6.0,27.0,77.0,33.0,12.83,7.9,7.3,12.0,1.64,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,7.9,27.0,1.64,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,19.0,86.0,51.0,58.79,8.1,9.3,21.0,0.86,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,8.1,19.0,0.86,19,Concrete,cubic meters,Hole,Liquid
4.0,9.0,19.0,82.0,39.0,75.46,3.3,2.4,100.0,2.51,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,3.3,19.0,2.51,21,Concrete,cubic meters,Hole,Liquid
4.0,4.0,32.0,82.0,14.0,11.64,5.5,3.4,71.0,1.15,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,5.5,32.0,1.15,58,Concrete,cubic meters,Hole,Liquid
4.0,9.0,22.0,83.0,45.0,89.43,4.1,6.1,45.0,1.23,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,4.1,22.0,1.23,21,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,23.0,84.0,27.0,75.7,0.9,7.6,3.0,2.82,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,0.9,23.0,2.82,0,Concrete,cubic meters,Hole,Liquid
6.0,4.0,22.0,80.0,58.0,60.54,7.3,3.5,4.0,1.63,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,7.3,22.0,1.63,0,Concrete,cubic meters,Hole,Liquid
4.0,6.0,27.0,86.0,43.0,7.03,7.3,2.4,65.0,1.03,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Continue,7.3,27.0,1.03,51,Concrete,cubic meters,pipe/valve,Liquid
5.0,0.0,33.0,77.0,22.0,54.72,8.8,6.2,54.0,1.47,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,8.8,33.0,1.47,1,Concrete,cubic meters,Hole,Liquid
4.0,10.0,32.0,81.0,9.0,6.3,8.0,8.6,78.0,1.82,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,8.0,32.0,1.82,24,Concrete,cubic meters,pipe/valve,Liquid
4.0,0.0,35.0,79.0,36.0,19.16,3.5,4.4,71.0,1.25,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.5,35.0,1.25,47,Concrete,cubic meters,Hole,Liquid
4.0,6.0,35.0,78.0,34.0,11.67,5.7,6.2,5.0,2.54,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Instantaneous,5.7,35.0,2.54,4,Concrete,cubic meters,Hole,Liquid
5.0,4.0,28.0,82.0,56.0,41.91,6.2,6.8,73.0,1.35,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Instantaneous,6.2,28.0,1.35,57,Concrete,cubic meters,Hole,Liquid
6.0,4.0,29.0,79.0,5.0,55.21,0.6,9.2,95.0,1.61,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,0.6,29.0,1.61,85,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,21.0,86.0,55.0,98.04,1.8,3.0,75.0,2.02,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,1.8,21.0,2.02,17,Concrete,cubic meters,Hole,Liquid
6.0,1.0,27.0,78.0,44.0,42.22,0.6,3.7,19.0,2.62,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Continue,0.6,27.0,2.62,4,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,26.0,79.0,29.0,39.21,8.4,3.7,55.0,1.13,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,8.4,26.0,1.13,5,Concrete,cubic meters,Hole,Liquid
6.0,9.0,18.0,83.0,55.0,77.48,3.8,6.9,75.0,1.95,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,3.8,18.0,1.95,63,Concrete,cubic meters,Hole,Liquid
4.0,9.0,29.0,84.0,4.0,22.94,4.1,4.1,35.0,2.47,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,4.1,29.0,2.47,27,Concrete,cubic meters,Hole,Liquid
